Demand,Latitude,Longitude
114,-71.77526882516865,126.09705417821942
4094,-5.558832536627278,18.02183960196919
328,-34.713093519308075,-61.627456649862296
4652,37.19074013411863,-169.64839909482566
264,9.858492330103942,97.91377494472431
1645,-39.942800057690775,-54.70280343916953
584,-56.44568070944127,50.07310753385201
1380,-24.525113047360193,-16.8327282450592
4973,63.448560117735184,-127.37895263005822
2709,86.84173939762204,-61.720675169302936
3933,-72.03369926951055,102.72529160068075
656,-57.412420030904435,-48.07422255083671
1699,77.91108765243524,-38.16957934364041
4128,39.774279262894595,-156.25513582105998
1091,-52.0566758069298,-153.88428457927589
1442,52.732288590679076,159.41157648172714
508,34.20186142869191,-39.59890113418254
741,-37.78213055280786,-121.00746313195887
4620,58.21897422766912,-5.121042346216427
1773,-65.84255632213201,-84.54912407793702
82,35.84957713443498,-92.19728210426607
4952,-66.04002511876982,-156.29780811664648
3165,-1.9070528268955655,171.78638816257717
3072,-70.9849156605009,115.58417418623031
4477,24.863872882102058,171.87973126762535
911,-76.24073187331697,66.3336337181826
4047,24.04791834549181,-175.25307564512292
2622,-54.74163110606791,168.9469429206548
4245,-5.588272470206348,-137.46083804928347
2699,-13.123617445838732,-0.7845200711844313
4867,78.98251401353124,-155.365571018898
59,-42.75629625760238,-163.07044050958172
2208,-76.32134574351836,-18.453707230866655
1728,-74.47456913887166,-121.8677561823055
1026,-69.70291872072436,-118.35635530105277
2912,-16.82504468593868,-71.96212131247232
1986,-44.81421671122521,-62.56399666372758
1960,28.12301575186879,113.29405500690672
2787,-61.85763794028286,-142.33803529670615
220,4.101541644232654,114.23329065236192
3731,56.9995491955284,-101.99493488784182
2527,-48.82938722543784,-55.613387465420686
2582,-36.698642416687676,-46.340478487395416
4793,-85.68799596320802,-134.74945399347536
2339,6.143552200008941,40.59166090400245
2168,-48.02786340054327,66.37359271484826
3855,-40.53499853059745,-119.66982687113864
4565,-53.29244332407154,-37.31642947855289
3260,-13.737753249014233,-174.10083560572414
1615,-32.442853971742146,-52.29789225867127
2770,17.18444914951283,-104.95192501031428
1790,44.152376833798314,-12.319304146457142
2012,50.96082884576521,106.40383812424295
3470,44.70416909965948,173.60207332948488
4979,-12.278890775331277,170.48063772609441
2105,33.62654358878365,51.53079271324751
340,-16.364504979798312,-131.9685603323776
1205,-6.390731464648269,-111.40374568268437
2544,-59.18775069820937,-172.72651018820218
2711,-44.31834980074554,55.5350262164219
4393,85.13868272743761,-2.7499164272922485
674,89.58529980758632,138.54082541551566
4228,81.63678732166525,153.37430859798087
1671,58.874987267554445,-15.973612018084367
2103,39.99212104425246,26.929333293302022
3449,-21.838191966531113,95.61836413134614
4130,-3.2137367952888525,80.8176580870915
4293,-3.768869525448153,-120.15093996696466
1590,-24.97492877504925,91.56259426640003
3309,8.951193353856766,-130.27334729603197
160,29.402004312938217,14.26297136202271
3330,-64.00002828391469,11.283440116205298
641,53.00321818038924,-53.154963027833745
369,-75.42900293107469,-7.802456208056043
3357,-71.6568850842239,-128.6642344655761
2829,61.19325300411006,-95.16483261398106
4913,28.285649682735325,-39.685318635999124
3095,-24.462532932353326,-91.30582232248362
3936,75.63688264968013,-60.35001345737206
1256,69.70225535737077,-145.82867935746987
2597,81.26180888985567,-38.42401085245686
1390,-63.352574636451706,171.5251479181319
4357,66.5417232082234,-86.12943476433684
3092,-46.129968868130106,171.0638799848415
995,-14.070001904968848,27.050990473627536
4454,-74.99782867240208,17.015085796319653
4676,31.55650338980452,-24.10814510301705
1542,10.541403054151985,-169.0232113373018
1143,23.05006319849332,8.966072404937393
4064,-31.097865972307446,106.00156749202426
973,84.55101461296152,91.6408185624091
714,75.23450373460358,-29.712353271472637
2549,34.36132630303348,37.0267382966403
3659,-59.87994769764335,-115.94765916915526
1585,60.447117216745966,-111.97207165301191
434,75.25400332268055,0.5693354879699086
2162,40.50853050307822,-178.20008852848878
1315,41.01288311822134,-40.548680878554336
3641,-86.6521795176865,-116.70950532263518
2643,22.743748687905907,108.54098975086725
240,-19.842626431185735,-84.52941719061035
3324,-37.97581081296011,62.60418759659822
3397,46.64535589280578,-6.3404276749431006
1863,-46.14111093623634,78.9617336244425
235,4.901230635305069,108.89307881855245
1054,61.48177692965899,-104.23205839788116
3465,50.7350710928001,114.25140504412138
2501,-69.83743559995074,3.046871295857244
3475,67.32245472407595,-36.69780681571291
3200,43.094333941708584,35.95024360047941
1972,78.79473415929522,131.57222326433333
1422,-66.58775891509214,-83.37438700017942
4910,-19.18399169144911,-93.60777103007855
3854,-20.256587858454424,-154.40681364786863
271,35.684345962334916,-150.78289099503212
2021,-74.30509900702022,80.23017529529574
3555,-47.44889223617575,100.1703617611322
1437,69.1917153319915,92.59442423315897
619,-67.84254012253652,-102.28078413349165
1880,-24.247680675668562,-93.76983922478634
3057,29.556913349834986,-136.83940550457277
944,-19.004335512593343,144.1162654281066
2267,-68.33048095922825,52.8552359978481
1249,-87.9246518725795,-49.311679910603516
2011,15.824745233157856,130.6933438796063
2040,65.11252334061874,-49.795366303733175
1832,-17.74556086756718,-30.397556865599284
2676,-23.436054758251046,-87.74327155257703
2533,-16.732310623317403,-118.66906996231015
958,73.57151019220697,-59.805295311805
3104,-41.567920549539124,140.94785714769336
1771,-12.862541640947768,152.35458332411832
3376,-28.171856660704655,-116.42364226289858
241,-77.12322899726007,120.42438844353961
2858,-41.53289364549533,-157.82617356773892
4176,-88.09080335158873,172.55508038452376
3604,73.2388968759054,21.318911498291868
973,43.500302939055075,124.97028619186824
530,58.57917920190718,122.67751339657968
2244,-37.52350952219583,141.31715266588304
4506,-76.0476692405126,86.47750047428144
2996,-45.59619364278569,-27.79581485676411
1363,-29.104034853019087,-24.312503736961332
1689,70.34321969754305,12.506403227568853
906,-81.37533987087457,134.20509868237144
4378,42.22440312004977,-174.86089026370138
3676,60.37986308327757,80.7338804720232
718,-67.51054493351594,155.01855825120526
2157,13.779427495206193,-128.8414054017622
2143,-50.28032354204557,45.88224179891651
1032,-76.30805095770464,-33.15518190472733
4384,-84.81145895711214,125.6568671055116
2178,67.35966029297208,-8.137077860480048
4518,-2.2635714087316217,-83.67128600993792
3201,-14.76222215505274,-172.6176951523709
4994,-55.86685458149765,-147.979375539258
587,58.2576749719243,-103.75241123056608
4199,-25.358712880802102,-110.0407017394993
1678,-55.214838174086886,59.51451933697308
4690,68.3425940151478,94.180171752717
4723,-61.58091001866357,148.31588335456559
2765,-32.94565483105844,153.04991640545188
3420,49.518022447910425,123.0281907567084
392,55.60918518417512,179.9737840116597
2155,52.24459339286301,14.320320133598244
857,17.92608788656308,15.81467582694421
140,-35.40854928129568,62.99165076487168
2669,41.06800818464711,-112.8262886095932
526,46.24224467252216,-135.82223518070555
3219,59.8872761382506,106.72210655737138
4000,84.08021784694219,-69.14765961434343
4619,-76.94140299118192,93.16817631132824
628,-45.81579572336039,-18.67209203253418
1553,82.04465202517582,-59.93679469077851
3104,-80.23950233619642,14.585919957545485
1371,12.113037971500376,-117.85316144956893
2730,38.21875019035065,-15.627327289938478
4402,-3.6329182016085184,65.27548257498967
638,44.51218342309531,163.64682594156994
4300,-76.72760385242594,9.696914775046793
224,59.5505926922371,-66.31681255598009
549,35.162961845307876,159.17622117813733
648,40.983102216473384,-60.34940606632756
4477,-85.23657649243758,112.51284645221835
4837,47.43806690592308,-11.923797012312889
1116,48.49036074460943,117.15702370055124
2073,57.29261516977985,167.128808947449
188,-37.818149614068425,138.33302296078062
2618,-69.00432932806815,-137.06415307631812
1734,-82.59788747196748,-169.74382608816524
422,-24.089655614552328,-179.00540024424782
2822,23.458513485254258,-49.967890499721165
1108,-89.0235075395734,-89.90755856101399
703,-36.48218157532239,115.98223338699586
1067,-51.56008095962869,-67.59739461197297
2513,-17.114116211071433,1.7354171318403928
3822,84.00660603114906,-167.0830149072625
2017,-54.84618691323057,-115.40239804552249
3236,-10.74407988853639,-126.6471614778743
2979,-0.3359673729214876,127.83691212476259
4287,-88.06835429115156,85.4354188332768
65,56.34220739511281,-48.09643217798575
2944,-46.36934260635836,-129.136218750514
